file,segment,fault_type,predicted_fault,confidence,health_score,risk_level,maintenance_recommendation
100.mat,69,Normal,Normal,0.9998505,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,70,Normal,Normal,0.9997016,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,71,Normal,Normal,0.9998165,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,72,Normal,Normal,0.9998865,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,73,Normal,Normal,0.9999248,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,74,Normal,Normal,0.99981743,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,75,Normal,Normal,0.99986637,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,76,Normal,Normal,0.9999117,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,77,Normal,Normal,0.9999592,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,78,Normal,Normal,0.9998327,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,79,Normal,Normal,0.99988925,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,80,Normal,Normal,0.9997881,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,81,Normal,Normal,0.99990034,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,82,Normal,Normal,0.99989885,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,83,Normal,Normal,0.9998614,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,84,Normal,Normal,0.9998595,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,85,Normal,Normal,0.99983853,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,86,Normal,Normal,0.9998797,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,87,Normal,Normal,0.99978304,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,88,Normal,Normal,0.9997216,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,89,Normal,Normal,0.9997682,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,90,Normal,Normal,0.99983156,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,91,Normal,Normal,0.9998085,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,92,Normal,Normal,0.99964005,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,93,Normal,Normal,0.9997689,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,94,Normal,Normal,0.9997563,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,95,Normal,Normal,0.9998313,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,96,Normal,Normal,0.99983984,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,97,Normal,Normal,0.99988806,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,98,Normal,Normal,0.99991506,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,99,Normal,Normal,0.9998934,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,100,Normal,Normal,0.9998349,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,101,Normal,Normal,0.99989074,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,102,Normal,Normal,0.9999995,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,103,Normal,Normal,0.9999994,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,104,Normal,Normal,0.9999995,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,105,Normal,Normal,0.9998867,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,106,Normal,Normal,0.9999405,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,107,Normal,Normal,0.9998938,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,108,Normal,Normal,0.9999106,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,109,Normal,Normal,0.9999152,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,110,Normal,Normal,0.99982625,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,111,Normal,Normal,0.9991923,99.99,Low,Continue normal operation and periodic monitoring.
100.mat,112,Normal,Normal,0.99960876,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,113,Normal,Normal,0.9995683,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,114,Normal,Normal,0.9997811,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,115,Normal,Normal,0.9998413,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,116,Normal,Normal,0.9997991,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,117,Normal,Normal,0.999753,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,118,Normal,Normal,0.99980044,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,119,Normal,Normal,0.9997688,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,120,Normal,Normal,0.9997229,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,121,Normal,Normal,0.999905,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,122,Normal,Normal,0.9999126,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,123,Normal,Normal,0.99968386,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,124,Normal,Normal,0.99965376,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,125,Normal,Normal,0.9997682,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,126,Normal,Normal,0.99993134,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,127,Normal,Normal,0.9998684,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,128,Normal,Normal,0.9998865,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,129,Normal,Normal,0.99989915,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,130,Normal,Normal,0.9998835,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,131,Normal,Normal,0.99989676,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,132,Normal,Normal,0.99983495,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,133,Normal,Normal,0.9997904,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,134,Normal,Normal,0.9998466,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,135,Normal,Normal,0.9996649,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,136,Normal,Normal,0.99964523,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,137,Normal,Normal,0.99989223,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,138,Normal,Normal,0.999999,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,139,Normal,Normal,0.999861,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,140,Normal,Normal,0.99988115,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,141,Normal,Normal,0.99989057,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,142,Normal,Normal,0.99987364,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,143,Normal,Normal,0.99989724,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,144,Normal,Normal,0.9998567,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,145,Normal,Normal,0.99984807,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,146,Normal,Normal,0.9998496,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,147,Normal,Normal,0.9996513,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,148,Normal,Normal,0.99943584,99.99,Low,Continue normal operation and periodic monitoring.
100.mat,149,Normal,Normal,0.9998587,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,150,Normal,Normal,0.99969345,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,151,Normal,Normal,0.9998714,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,152,Normal,Normal,0.99975383,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,153,Normal,Normal,0.9997304,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,154,Normal,Normal,0.9997551,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,155,Normal,Normal,0.99986124,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,156,Normal,Normal,0.9998869,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,157,Normal,Normal,0.9998561,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,158,Normal,Normal,0.9997801,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,159,Normal,Normal,0.99960274,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,160,Normal,Normal,0.9996909,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,161,Normal,Normal,0.9999094,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,162,Normal,Normal,0.99993837,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,163,Normal,Normal,0.9999372,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,164,Normal,Normal,0.9997244,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,165,Normal,Normal,0.99984014,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,166,Normal,Normal,0.99983764,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,167,Normal,Normal,0.9998253,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,168,Normal,Normal,0.999899,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,169,Normal,Normal,0.9999037,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,170,Normal,Normal,0.9998796,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,171,Normal,Normal,0.99990267,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,172,Normal,Normal,0.9998796,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,173,Normal,Normal,0.99979025,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,174,Normal,Normal,0.99989116,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,175,Normal,Normal,0.99989754,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,176,Normal,Normal,0.9999185,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,177,Normal,Normal,0.9999198,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,178,Normal,Normal,0.999817,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,179,Normal,Normal,0.9999228,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,180,Normal,Normal,0.99987495,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,181,Normal,Normal,0.99986297,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,182,Normal,Normal,0.99962926,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,183,Normal,Normal,0.99949205,99.99,Low,Continue normal operation and periodic monitoring.
100.mat,184,Normal,Normal,0.99975854,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,185,Normal,Normal,0.99987125,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,186,Normal,Normal,0.9998803,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,187,Normal,Normal,0.99973184,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,188,Normal,Normal,0.99950576,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,189,Normal,Normal,0.9997265,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,190,Normal,Normal,0.9996476,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,191,Normal,Normal,0.9996369,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,192,Normal,Normal,0.9997378,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,193,Normal,Normal,0.9998115,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,194,Normal,Normal,0.9997765,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,195,Normal,Normal,0.99990404,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,196,Normal,Normal,0.99986744,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,197,Normal,Normal,0.9998382,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,198,Normal,Normal,0.99984944,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,199,Normal,Normal,0.99958104,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,200,Normal,Normal,0.9996604,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,201,Normal,Normal,0.9996774,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,202,Normal,Normal,0.9997714,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,203,Normal,Normal,0.9999222,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,204,Normal,Normal,0.99986446,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,205,Normal,Normal,0.9998123,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,206,Normal,Normal,0.99999976,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,207,Normal,Normal,0.9999997,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,208,Normal,Normal,0.9999997,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,209,Normal,Normal,0.9999999,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,210,Normal,Normal,0.99999964,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,211,Normal,Normal,0.99972767,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,212,Normal,Normal,0.99989206,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,213,Normal,Normal,0.9996822,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,214,Normal,Normal,0.99981576,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,215,Normal,Normal,0.99989617,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,216,Normal,Normal,0.9999085,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,217,Normal,Normal,0.99991155,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,218,Normal,Normal,0.99975175,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,219,Normal,Normal,0.99988914,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,220,Normal,Normal,0.9998313,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,221,Normal,Normal,0.99980336,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,222,Normal,Normal,0.9998112,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,223,Normal,Normal,0.99940354,99.99,Low,Continue normal operation and periodic monitoring.
100.mat,224,Normal,Normal,0.9995484,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,225,Normal,Normal,0.99956316,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,226,Normal,Normal,0.9996488,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,227,Normal,Normal,0.9996812,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,228,Normal,Normal,0.9999517,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,229,Normal,Normal,0.9998411,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,230,Normal,Normal,0.99940145,99.99,Low,Continue normal operation and periodic monitoring.
100.mat,231,Normal,Normal,0.99959135,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,232,Normal,Normal,0.9998667,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,233,Normal,Normal,0.99991655,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,234,Normal,Normal,0.9999993,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,235,Normal,Normal,0.9999996,100.0,Low,Continue normal operation and periodic monitoring.
108.mat,0,Inner Race,Inner Race,0.9990038,30.03,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,1,Inner Race,Inner Race,0.9998344,30.0,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,2,Inner Race,Inner Race,0.99973065,30.01,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,3,Inner Race,Inner Race,0.9997574,30.01,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,4,Inner Race,Inner Race,0.9998354,30.0,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,5,Inner Race,Inner Race,0.9998547,30.0,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,6,Inner Race,Inner Race,0.99989724,30.0,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,7,Inner Race,Inner Race,0.9998869,30.0,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,8,Inner Race,Inner Race,0.99991906,30.0,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,9,Inner Race,Inner Race,0.99999034,30.0,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,10,Inner Race,Inner Race,0.999838,30.0,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,11,Inner Race,Inner Race,0.99991083,30.0,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,12,Inner Race,Inner Race,0.99976295,30.01,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,13,Inner Race,Inner Race,0.9995697,30.01,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,14,Inner Race,Inner Race,0.9998889,30.0,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,15,Inner Race,Inner Race,0.99919254,30.02,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,16,Inner Race,Inner Race,0.999586,30.01,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,17,Inner Race,Inner Race,0.9997855,30.01,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,18,Inner Race,Inner Race,0.99990296,30.0,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,19,Inner Race,Inner Race,0.99983597,30.0,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,20,Inner Race,Inner Race,0.9995529,30.01,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,21,Inner Race,Inner Race,0.99994344,30.0,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,22,Inner Race,Inner Race,0.9996915,30.01,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,23,Inner Race,Inner Race,0.99960405,30.01,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,24,Inner Race,Inner Race,0.9999313,30.0,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,25,Inner Race,Inner Race,0.9997942,30.01,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,26,Inner Race,Inner Race,0.99975413,30.01,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,27,Inner Race,Inner Race,0.99968076,30.01,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,28,Inner Race,Inner Race,0.9996555,30.01,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,29,Inner Race,Inner Race,0.9995365,30.01,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,30,Inner Race,Inner Race,0.9990809,30.03,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,31,Inner Race,Inner Race,0.9997009,30.01,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,32,Inner Race,Inner Race,0.9996841,30.01,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,33,Inner Race,Inner Race,0.99993145,30.0,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,34,Inner Race,Inner Race,0.9999547,30.0,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,35,Inner Race,Inner Race,0.9998789,30.0,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,36,Inner Race,Inner Race,0.9999888,30.0,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,37,Inner Race,Inner Race,0.9999831,30.0,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,38,Inner Race,Inner Race,0.99997747,30.0,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,39,Inner Race,Inner Race,0.99984014,30.0,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,40,Inner Race,Inner Race,0.99920356,30.02,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,41,Inner Race,Inner Race,0.9999534,30.0,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,42,Inner Race,Inner Race,0.99936336,30.02,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,43,Inner Race,Inner Race,0.99916947,30.02,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,44,Inner Race,Inner Race,0.9982564,30.05,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,45,Inner Race,Inner Race,0.99881196,30.04,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,46,Inner Race,Inner Race,0.9990527,30.03,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,47,Inner Race,Inner Race,0.99975675,30.01,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,48,Inner Race,Inner Race,0.99984086,30.0,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,49,Inner Race,Inner Race,0.999838,30.0,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,50,Inner Race,Inner Race,0.99995935,30.0,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,51,Inner Race,Inner Race,0.9993611,30.02,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,52,Inner Race,Inner Race,0.99866784,30.04,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,53,Inner Race,Inner Race,0.9964216,30.11,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,54,Inner Race,Inner Race,0.9986891,30.04,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,55,Inner Race,Inner Race,0.9998733,30.0,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,56,Inner Race,Inner Race,0.9999,30.0,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,57,Inner Race,Inner Race,0.9999001,30.0,High,Inspect inner race bearing condition and schedule maintenance.
108.mat,58,Inner Race,Inner Race,0.99990344,30.0,High,Inspect inner race bearing condition and schedule maintenance.
121.mat,0,Ball,Ball,0.9994122,79.99,Medium,Inspect bearing condition and schedule maintenance.
121.mat,1,Ball,Ball,0.99980193,80.0,Low,Inspect bearing condition and schedule maintenance.
121.mat,2,Ball,Ball,0.9998416,80.0,Low,Inspect bearing condition and schedule maintenance.
